selection_key,selection_name,odds
H_1-0,ニュージーランド 1-0,12.2
H_2-0,ニュージーランド 2-0,20.5
H_2-1,ニュージーランド 2-1,14.3
H_3-0,ニュージーランド 3-0,52.1
H_3-1,ニュージーランド 3-1,37.6
H_3-2,ニュージーランド 3-2,42.5
H_other,ニュージーランド その他(4得点以上),61.1
D_0-0,引き分け 0-0,8.9
D_1-1,引き分け 1-1,8.1
D_2-2,引き分け 2-2,14.4
D_other,引き分け その他(3得点以上),48.0
A_0-1,ベルギー 0-1,4.8
A_0-2,ベルギー 0-2,4.3
A_1-2,ベルギー 1-2,5.6
A_0-3,ベルギー 0-3,4.7
A_1-3,ベルギー 1-3,5.9
A_2-3,ベルギー 2-3,16.0
A_other,ベルギー その他(4得点以上),2.9
