strategy,parameter,bet_count,total_bet,total_payout,roi_percentage
Flat_Bet,EV_1.0,60,60.0,121.33999999999999,202.23333333333332
Flat_Bet,EV_1.05,51,51.0,109.55999999999999,214.82352941176467
Flat_Bet,EV_1.1,42,42.0,97.17,231.35714285714286
Flat_Bet,EV_1.15,35,35.0,92.0,262.85714285714283
Flat_Bet,EV_1.2,33,33.0,92.0,278.7878787878788
Flat_Bet,EV_1.25,29,29.0,84.5,291.37931034482756
Full_Kelly,Fraction_1.0,60,1645.0590066894679,2371.878580893929,144.1819759199471
Half_Kelly,Fraction_0.5,60,528.5983672941617,875.0285130389278,165.53749825564253
Quarter_Kelly,Fraction_0.25,60,185.1081086029967,332.31520775477236,179.5249328961014
