selection_key,selection_name,odds
H_1-0,ホーム 1-0,5.5
H_2-0,ホーム 2-0,3.9
H_2-1,ホーム 2-1,4.2
H_3-0,ホーム 3-0,4.5
H_3-1,ホーム 3-1,4.4
H_3-2,ホーム 3-2,10.8
H_other,ホーム その他(4得点以上),4.4
D_0-0,引き分け 0-0,12.9
D_1-1,引き分け 1-1,7.4
D_2-2,引き分け 2-2,11.9
D_other,引き分け その他(3得点以上),40.9
A_0-1,アウェイ 0-1,15.3
A_0-2,アウェイ 0-2,29.9
A_1-2,アウェイ 1-2,13.8
A_0-3,アウェイ 0-3,70.1
A_1-3,アウェイ 1-3,42.7
A_2-3,アウェイ 2-3,37.7
A_other,アウェイ その他(4得点以上),65.0
