selection_key,selection_name,odds
H_1-0,ホーム 1-0,8.1
H_2-0,ホーム 2-0,18.5
H_2-1,ホーム 2-1,9.8
H_3-0,ホーム 3-0,70.6
H_3-1,ホーム 3-1,41.5
H_3-2,ホーム 3-2,36.5
H_other,ホーム その他(4得点以上),68.5
D_0-0,引き分け 0-0,9.5
D_1-1,引き分け 1-1,5.0
D_2-2,引き分け 2-2,9.7
D_other,引き分け その他(3得点以上),44.9
A_0-1,アウェイ 0-1,4.4
A_0-2,アウェイ 0-2,3.8
A_1-2,アウェイ 1-2,3.7
A_0-3,アウェイ 0-3,7.2
A_1-3,アウェイ 1-3,6.5
A_2-3,アウェイ 2-3,14.3
A_other,アウェイ その他(4得点以上),9.5
