group,home_team,away_team,pred_home_score,pred_away_score,pred_score_str,pred_score_prob,lambda_home,lambda_away,p_home_win,p_draw,p_away_win
R16_M90,Paraguay,France,0,2,0-2,13.3,0.71,2.055,10.6,20.4,69.0
R16_M91,Brazil,Norway,1,1,1-1,11.7,1.837,1.085,52.2,25.4,22.4
R16_M92,Mexico,England,1,1,1-1,13.8,0.98,1.412,24.9,28.8,46.3
R16_M93,Portugal,Spain,1,1,1-1,12.1,0.884,1.75,16.6,26.2,57.3
R16_M94,United States,Belgium,1,1,1-1,11.5,1.12,1.862,20.5,23.5,56.0
R16_M95,Argentina,Egypt,2,0,2-0,13.9,2.19,0.655,72.4,18.5,9.1
R16_M96,Switzerland,Colombia,1,1,1-1,13.9,1.031,1.382,25.8,31.9,42.3
QF_M97,France,Morocco,1,1,1-1,12.2,1.749,0.918,55.5,26.7,17.8
QF_M98,Spain,Belgium,1,1,1-1,11.4,1.897,0.99,56.3,26.1,17.6
QF_M99,Norway,England,1,1,1-1,11.7,1.056,1.848,21.6,25.2,53.2
QF_M100,Argentina,Switzerland,1,1,1-1,11.5,1.883,0.939,58.7,24.9,16.4
