selection_key,selection_name,odds
H_1-0,ホーム 1-0,6.5
H_2-0,ホーム 2-0,6.3
H_2-1,ホーム 2-1,4.3
H_3-0,ホーム 3-0,14.0
H_3-1,ホーム 3-1,7.1
H_3-2,ホーム 3-2,9.6
H_other,ホーム その他(4得点以上),14.5
D_0-0,引き分け 0-0,9.5
D_1-1,引き分け 1-1,5.0
D_2-2,引き分け 2-2,6.8
D_other,引き分け その他(3得点以上),20.0
A_0-1,アウェイ 0-1,8.1
A_0-2,アウェイ 0-2,12.2
A_1-2,アウェイ 1-2,6.0
A_0-3,アウェイ 0-3,33.4
A_1-3,アウェイ 1-3,15.6
A_2-3,アウェイ 2-3,13.2
A_other,アウェイ その他(4得点以上),26.2
