selection_key,selection_name,odds
H_1-0,ホーム 1-0,8.2
H_2-0,ホーム 2-0,6.8
H_2-1,ホーム 2-1,5.4
H_3-0,ホーム 3-0,9.8
H_3-1,ホーム 3-1,6.4
H_3-2,ホーム 3-2,9.9
H_other,ホーム その他(4得点以上),10.8
D_0-0,引き分け 0-0,12.6
D_1-1,引き分け 1-1,6.9
D_2-2,引き分け 2-2,7.0
D_other,引き分け その他(3得点以上),22.4
A_0-1,アウェイ 0-1,8.8
A_0-2,アウェイ 0-2,10.9
A_1-2,アウェイ 1-2,5.1
A_0-3,アウェイ 0-3,24.2
A_1-3,アウェイ 1-3,10.7
A_2-3,アウェイ 2-3,8.9
A_other,アウェイ その他(4得点以上),22.3
