year,date,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots
2022,2022-11-27,Spain,Germany,1,1,0.64,1.147,7,11
2022,2022-11-27,Belgium,Morocco,0,2,0.643,0.991,10,10
2022,2022-11-27,Croatia,Canada,4,1,2.61,0.287,13,8
2022,2022-11-28,Brazil,Switzerland,1,0,0.923,0.289,13,6
2022,2022-11-28,Portugal,Uruguay,2,0,1.214,1.217,15,11
2022,2022-11-28,Cameroon,Serbia,3,3,2.07,1.738,13,15
2022,2022-11-28,South Korea,Ghana,2,3,1.368,1.181,21,7
2022,2022-11-29,Iran,United States,0,1,0.921,1.17,4,12
2022,2022-11-29,Wales,England,0,3,0.208,2.915,7,18
2022,2022-11-29,Netherlands,Qatar,2,0,1.714,0.144,13,5
2022,2022-11-29,Ecuador,Senegal,1,2,1.002,1.707,9,13
2022,2022-11-30,Tunisia,France,1,0,0.298,0.477,5,10
2022,2022-11-30,Australia,Denmark,1,0,0.47,0.737,8,14
2022,2022-11-30,Saudi Arabia,Mexico,1,2,1.076,2.322,10,26
2022,2022-11-30,Poland,Argentina,0,2,0.198,3.077,4,24
2022,2022-12-01,Canada,Morocco,1,2,1.096,0.426,5,7
2022,2022-12-01,Croatia,Belgium,0,0,0.695,2.382,11,16
2022,2022-12-01,Japan,Spain,2,1,1.158,0.858,6,12
2022,2022-12-01,Costa Rica,Germany,2,4,1.035,4.316,7,31
2022,2022-12-02,Serbia,Switzerland,2,3,1.189,3.104,12,14
2022,2022-12-02,Ghana,Uruguay,0,2,1.393,1.637,9,12
2022,2022-12-02,Cameroon,Brazil,1,0,0.383,2.378,7,21
2022,2022-12-02,South Korea,Portugal,2,1,1.399,0.974,12,13
2022,2022-12-03,Argentina,Australia,2,1,1.482,0.426,14,5
2022,2022-12-03,Netherlands,United States,3,1,1.482,1.652,11,18
2022,2022-12-04,England,Senegal,3,0,1.02,0.973,8,10
2022,2022-12-04,France,Poland,3,1,1.126,1.594,16,12
2022,2022-12-05,Japan,Croatia,1,1,4.203,3.988,17,21
2022,2022-12-05,Brazil,South Korea,4,1,3.261,0.345,18,8
2022,2022-12-06,Portugal,Switzerland,6,1,2.284,1.272,15,10
2022,2022-12-06,Morocco,Spain,0,0,3.704,2.845,10,15
2022,2022-12-09,Netherlands,Argentina,2,2,4.487,5.857,12,19
2022,2022-12-09,Croatia,Brazil,1,1,3.767,4.95,13,24
2022,2022-12-10,Morocco,Portugal,1,0,0.972,0.744,9,12
2022,2022-12-10,England,France,1,2,2.353,0.839,16,8
2022,2022-12-13,Argentina,Croatia,3,0,1.864,0.41,9,12
2022,2022-12-14,France,Morocco,2,0,2.002,1.23,14,13
2022,2022-12-17,Croatia,Morocco,2,1,0.849,0.991,12,9
2022,2022-12-18,Argentina,France,3,3,5.892,5.407,24,14
