selection_key,selection_name,odds
H_1-0,ホーム 1-0,5.1
H_2-0,ホーム 2-0,3.0
H_2-1,ホーム 2-1,5.3
H_3-0,ホーム 3-0,3.6
H_3-1,ホーム 3-1,5.3
H_3-2,ホーム 3-2,19.0
H_other,ホーム その他(4得点以上),3.4
D_0-0,引き分け 0-0,9.1
D_1-1,引き分け 1-1,7.9
D_2-2,引き分け 2-2,19.9
D_other,引き分け その他(3得点以上),76.5
A_0-1,アウェイ 0-1,16.7
A_0-2,アウェイ 0-2,36.1
A_1-2,アウェイ 1-2,20.1
A_0-3,アウェイ 0-3,90.0
A_1-3,アウェイ 1-3,71.2
A_2-3,アウェイ 2-3,62.5
A_other,アウェイ その他(4得点以上),101.8
