strategy,parameter,bet_count,total_bet,total_payout,roi_percentage
Flat_Bet,EV_1.0,59,59.0,83.47,141.47457627118644
Flat_Bet,EV_1.05,51,51.0,78.72,154.35294117647058
Flat_Bet,EV_1.1,47,47.0,71.97,153.12765957446808
Flat_Bet,EV_1.15,43,43.0,67.35,156.62790697674419
Flat_Bet,EV_1.2,38,38.0,61.85,162.76315789473685
Flat_Bet,EV_1.25,33,33.0,47.6,144.24242424242425
Full_Kelly,Fraction_1.0,59,2776.880151643242,3141.2523831468407,113.12164053201859
Half_Kelly,Fraction_0.5,59,734.4102041057812,932.1800762933523,126.92907466180647
Quarter_Kelly,Fraction_0.25,59,236.5705862553785,326.61693505644035,138.06320566997988
