date,home_team,away_team,home_score,away_score,actual,pred_home_score,pred_away_score,odds_home,odds_draw,odds_away,lambda_home,lambda_away,p_home,p_draw,p_away,ev_home,ev_draw,ev_away,bet_placed,bet_odds,bet_ev,bet_amount,bet_payout,bet_roi,bankroll_after,log_loss,brier_score
2018-06-14,Russia,Saudi Arabia,5,0,H,2,1,1.5,4.0,7.5,2.110678939740295,1.1197728420349728,0.6095388012455747,0.20300397388717084,0.18745722859254488,0.914308201868362,0.8120158955486834,1.4059292144440865,1X2_A,7.5,1.4059292144440865,3.122532418800665,0.0,0.0,96.87746758119934,0.4950526713068021,0.2288107736983236
2018-06-15,Egypt,Uruguay,0,1,A,0,1,3.8,3.2,2.15,0.7644141636334375,1.6171691899273528,0.1865686476160603,0.24129645089984103,0.572134903346744,0.7089608609410291,0.7721486428794914,1.2300900421954994,1X2_A,2.15,1.2300900421954994,9.687746758119935,20.82865552995786,215.0,108.01837635303727,0.5583804703976117,0.2761003784242452
2018-06-15,Morocco,Iran,0,1,A,1,1,1.87,3.4,4.5,1.053649646470672,1.1501034135374724,0.3171915204968817,0.2975243886101093,0.38528409461829927,0.5931481433291689,1.0115829212743717,1.7337784257823468,1X2_A,4.5,1.7337784257823468,10.801837635303727,48.60826935886677,450.0,145.8248080766003,0.9537743087151975,0.5670068668221871
2018-06-15,Portugal,Spain,3,3,D,0,1,3.1,3.1,2.45,0.9789295924250073,1.5256429629996504,0.25714564514471316,0.2616251498793487,0.48122920497593813,0.7971514999486108,0.811037964625981,1.1790115521910485,1X2_A,2.45,1.1790115521910485,9.001491462673778,0.0,0.0,136.82331661392652,1.3408425253375948,0.8429028498293585
2018-06-16,France,Australia,2,1,H,1,0,1.38,4.75,9.5,1.733177160409647,0.9703233941296198,0.5398440989786728,0.25665220071372463,0.20350370589553796,0.7449848565905685,1.219097953390192,1.9332852060076107,1X2_A,9.5,1.9332852060076107,7.511481013686645,0.0,0.0,129.31183560023987,0.6164748867023507,0.3190275636891651
2018-06-16,Argentina,Iceland,1,1,D,2,1,1.3,5.25,12.0,2.1487932868854,1.0277462642553357,0.63145527784412,0.2108580281434663,0.15768668469918792,0.820891861197356,1.107004647753198,1.8922402163902552,1X2_A,12.0,1.8922402163902552,5.244419098989961,0.0,0.0,124.06741650124991,1.5565702243734723,1.0463459101942343
2018-06-16,Peru,Denmark,0,1,A,1,0,2.5,3.0,3.1,1.1869998343922912,0.9499264100170377,0.3768315384898109,0.3484684181778774,0.27470004519495683,0.9420788462245272,1.045405254533632,0.8515701401043662,1X2_D,3.0,1.045405254533632,1.4083281563923495,0.0,0.0,122.65908834485757,1.2920755213561432,0.7894922713081874
2018-06-16,Croatia,Nigeria,2,0,H,1,0,1.85,3.4,4.75,1.4731467474839857,0.9693396205859965,0.49627807084290443,0.2555644026823715,0.24815752461207893,0.9181144310593732,0.8689189691200632,1.178748241907375,1X2_A,4.75,1.178748241907375,2.9233461860806234,0.0,0.0,119.73574215877694,0.7006188826502427,0.38063110285373797
2018-06-17,Costa Rica,Serbia,0,1,A,1,1,2.6,3.1,2.9,1.289550671903858,1.2055501690369919,0.3890362951706962,0.2596674871003924,0.3512962214542018,1.0114943674438102,0.8049692100112165,1.0187590422171853,1X2_A,2.9,1.0187590422171853,0.5910862742269757,1.7141501952582294,290.0,120.8588060798082,1.0461254756628726,0.6395930351167696
2018-06-17,Germany,Mexico,0,1,A,1,1,1.53,4.0,7.5,1.8905539726325342,1.037600078605255,0.5651042091340109,0.22054451572956935,0.21435127699906487,0.8646094399750367,0.8821780629182774,1.6076345774929865,1X2_A,7.5,1.6076345774929865,5.649076120662389,42.36807090496792,750.0,157.57780086411373,1.54013912841419,0.9852265665523663
2018-06-17,Brazil,Switzerland,1,1,D,1,0,1.55,3.8,7.5,1.8171113280231062,0.7284480505241792,0.60780976991599,0.24985288348779974,0.14233734473356502,0.9421051433697846,0.949440957253639,1.0675300855017376,1X2_A,7.5,1.0675300855017376,0.8185571050407211,0.0,0.0,156.759243759073,1.386883000382794,0.952413332522699
2018-06-18,Sweden,South Korea,1,0,H,1,1,1.87,3.4,4.5,1.4550725492469467,1.0140198677628731,0.48142292040364465,0.2566209123083285,0.26195616356273654,0.9002608611548155,0.8725111018483169,1.1788027360323143,1X2_A,4.5,1.1788027360323143,4.004140240354107,0.0,0.0,152.7551035187189,0.7310091427939067,0.40339751174515065
2018-06-18,Belgium,Panama,3,0,H,2,0,1.17,7.5,19.0,2.1775116674181234,0.9301498303147803,0.6492615494044849,0.19387525209376502,0.15686319477645955,0.7596360128032472,1.4540643907032376,2.9804007007527313,1X2_A,19.0,2.9804007007527313,8.403230945889636,0.0,0.0,144.35187257282925,0.43191963975732184,0.18521113597604102
2018-06-18,Tunisia,England,1,2,A,0,1,5.0,3.8,1.67,0.8101849643198019,1.6760609496418735,0.17025417670142556,0.24463743845666402,0.5851083839105877,0.8512708835071279,0.9296222661353233,0.9771310011306814,None,,,0.0,0.0,,144.35187257282925,0.5359581772689214,0.26096901408020257
2018-06-19,Russia,Egypt,3,1,H,1,0,1.85,3.4,4.75,1.5737577446535755,0.7696608716191266,0.5649432138564344,0.2514293649411795,0.18362742120238598,1.0451449456344037,0.8548598408000103,0.8722302507113334,1X2_H,1.85,1.0451449456344037,3.8333867291322075,7.091765448894584,185.0,147.61025129259164,0.5710300593355964,0.2862101625417314
2018-06-19,Colombia,Japan,1,2,A,1,0,1.53,3.9,7.5,1.6085176123265141,0.9258707424320054,0.5181960937887762,0.2704157240541738,0.21138818774498547,0.7928400234968276,1.0546213238112778,1.5854114080873911,1X2_A,7.5,1.5854114080873911,6.647132696717671,49.85349522538253,750.0,190.8166138212565,1.5540590834317118,0.9635604458618274
2018-06-19,Poland,Senegal,1,2,A,1,1,1.8,3.4,4.75,1.2986329383241768,1.1171910142933148,0.3945446272018016,0.2758218458428992,0.3296335344058797,0.7101803289632429,0.9377942758658573,1.5657592884279288,1X2_A,4.75,1.5657592884279288,14.394169554098797,68.37230538196928,475.0,244.794749649127,1.109773743385976,0.6811343516911454
2018-06-20,Portugal,Morocco,1,0,H,1,0,1.55,3.8,7.0,1.576064339902169,0.852001886059364,0.5796395515743964,0.23627791346351734,0.18408253496208615,0.8984413049403145,0.8978560711613659,1.288577744734603,1X2_A,7.0,1.288577744734603,5.886859731384734,0.0,0.0,238.90788991774227,0.5453488314324881,0.26641653866931564
2018-06-20,Uruguay,Saudi Arabia,1,0,H,2,0,1.38,4.75,9.5,2.2896055658026495,0.7329811422279716,0.7148318074882498,0.18527875673288308,0.09988944229812527,0.9864678943337847,0.8800740944811947,0.9489497018321901,None,,,0.0,0.0,,238.90788991774227,0.3357079982422209,0.12562701639953197
2018-06-20,Iran,Spain,0,1,A,0,1,10.0,5.5,1.29,0.8297667113662146,1.8889693805084324,0.16069576832511662,0.23085863706287213,0.6084455927493659,1.6069576832511663,1.2697225038457967,0.7848948146466821,1X2_H,10.0,1.6069576832511663,8.055943298605417,0.0,0.0,230.85194661913684,0.496847782631978,0.23243369410152187
2018-06-21,Denmark,Australia,1,1,D,1,0,2.15,3.1,3.6,1.5033506558984746,0.9611927178246736,0.4725196114935837,0.29105730119529793,0.23642309103640868,1.0159171647112049,0.9022776337054236,0.8511231277310712,1X2_H,2.15,1.0159171647112049,1.5976123731474228,0.0,0.0,229.2543342459894,1.2342351198710868,0.7817704114097518
2018-06-21,France,Peru,1,0,H,1,1,1.55,3.7,7.0,1.3813579576053137,1.0758206013744627,0.4237359548522174,0.3018226578156833,0.2744413873320993,0.6567907300209369,1.1167438339180282,1.921089711324695,1X2_A,7.0,1.921089711324695,17.596984045881126,0.0,0.0,211.65735020010828,0.8586447657283035,0.498495241581776
2018-06-21,Argentina,Croatia,0,3,A,1,1,1.8,3.4,5.0,1.4634722760087497,1.0480527482184352,0.45595534966509876,0.26888313386126067,0.2751615239242211,0.8207196293971778,0.9142026551282862,1.3758076196211055,1X2_A,5.0,1.3758076196211055,9.942805619251677,49.71402809625839,500.0,251.428572677115,1.2903969940193334,0.8055842369631326
2018-06-22,Brazil,Costa Rica,2,0,H,2,0,1.33,5.0,11.0,2.406471732428639,0.7081547317669395,0.7254361907845871,0.17005935384738957,0.10450445536802341,0.9648301337435009,0.8502967692369479,1.1495490090482576,1X2_A,11.0,1.1495490090482576,1.8800446945140186,0.0,0.0,249.54852798260097,0.3209821625802284,0.11522665035363651
2018-06-22,Nigeria,Iceland,2,0,H,1,1,2.2,3.1,3.55,1.3800338703974255,1.4941892336704328,0.35850785887886255,0.239881435417673,0.40161070570346447,0.7887172895334976,0.7436324497947864,1.4257180052472989,1X2_A,3.55,1.4257180052472989,20.830843440226005,0.0,0.0,228.71768454237497,1.0258046976238444,0.6303464291138592
2018-06-22,Serbia,Switzerland,1,2,A,0,1,2.65,3.0,2.85,0.9134696815543596,1.3279864261748744,0.25185358120109885,0.29609184351035805,0.45205456970060753,0.667411990182912,0.8882755305310741,1.2883555236467314,1X2_A,2.85,1.2883555236467314,17.82486694418499,50.80087079092722,285.0,261.6936883891172,0.7939523770109936,0.45134480074316724
2018-06-23,Belgium,Tunisia,5,2,H,2,0,1.33,5.25,11.0,2.2423134729094443,0.8785690814330008,0.6709634349761208,0.20008504007945038,0.12895152308178368,0.8923813685182407,1.0504464604171144,1.4184667538996205,1X2_A,11.0,1.4184667538996205,5.475505414810634,0.0,0.0,256.21818297430656,0.39904063682444985,0.16492757969142055
