selection_key,selection_name,odds
H_1-0,ホーム 1-0,5.2
H_2-0,ホーム 2-0,3.7
H_2-1,ホーム 2-1,4.0
H_3-0,ホーム 3-0,5.9
H_3-1,ホーム 3-1,5.2
H_3-2,ホーム 3-2,10.3
H_other,ホーム その他(4得点以上),6.9
D_0-0,引き分け 0-0,8.9
D_1-1,引き分け 1-1,6.6
D_2-2,引き分け 2-2,10.9
D_other,引き分け その他(3得点以上),40.8
A_0-1,アウェイ 0-1,12.3
A_0-2,アウェイ 0-2,23.0
A_1-2,アウェイ 1-2,10.4
A_0-3,アウェイ 0-3,68.8
A_1-3,アウェイ 1-3,36.4
A_2-3,アウェイ 2-3,32.5
A_other,アウェイ その他(4得点以上),62.0
