rho,cls_blend,log_loss,brier
-0.15,0.0,0.8642103949230886,0.5076556961467044
-0.15,0.25,0.8632980274637931,0.5073624161648735
-0.15,0.5,0.8643502529343992,0.5078401456324101
-0.15,0.75,0.8669284908788724,0.5090888845493141
-0.15,1.0,0.8710362373098987,0.5111086329155855
-0.12,0.0,0.863877917790313,0.5074598934075811
-0.12,0.25,0.8632040268414924,0.5072747279409413
-0.12,0.5,0.8643793634598469,0.507821129370062
-0.12,0.75,0.8669911523397364,0.5090990976949434
-0.12,1.0,0.8710362373098987,0.5111086329155855
-0.09,0.0,0.8637691727760138,0.5073824308293635
-0.09,0.25,0.8632352923412143,0.5072536067225004
-0.09,0.5,0.8644653329582235,0.5078316990345831
-0.09,0.75,0.8670685848705069,0.5091167077656115
-0.09,1.0,0.8710362373098987,0.5111086329155855
-0.06,0.0,0.863888341580175,0.5074233082936709
-0.06,0.25,0.8633939313480357,0.5072990517991666
-0.06,0.5,0.8646088542821149,0.5078718537379842
-0.06,0.75,0.8671608825845758,0.509141714110124
-0.06,1.0,0.8710362373098987,0.5111086329155855
-0.03,0.0,0.8642404755902786,0.5075825257993384
-0.03,0.25,0.8636823211877607,0.5074110631490979
-0.03,0.5,0.8648106859645667,0.5079415934517254
-0.03,0.75,0.8672681500496889,0.5091741167072213
-0.03,1.0,0.8710362373098987,0.5111086329155855
0.0,0.0,0.864831502545457,0.5078600833463661
0.0,0.25,0.8641031020047207,0.5075896407722942
0.0,0.5,0.865071641226173,0.5080409181758068
0.0,0.75,0.8673904958746671,0.5092139155569039
0.0,1.0,0.8710362373098987,0.5111086329155855
