selection_key,selection_name,odds
H_1-0,ヨルダン 1-0,19.5
H_2-0,ヨルダン 2-0,38.2
H_2-1,ヨルダン 2-1,14.8
H_3-0,ヨルダン 3-0,77.0
H_3-1,ヨルダン 3-1,74.0
H_3-2,ヨルダン 3-2,71.8
H_other,ヨルダン その他(4得点以上),76.8
D_0-0,引き分け 0-0,15.9
D_1-1,引き分け 1-1,13.7
D_2-2,引き分け 2-2,27.0
D_other,引き分け その他(3得点以上),67.4
A_0-1,アルゼンチン 0-1,8.2
A_0-2,アルゼンチン 0-2,4.5
A_1-2,アルゼンチン 1-2,8.6
A_0-3,アルゼンチン 0-3,2.9
A_1-3,アルゼンチン 1-3,5.8
A_2-3,アルゼンチン 2-3,23.9
A_other,アルゼンチン その他(4得点以上),1.6
