selection_key,selection_name,odds
H_1-0,ホーム 1-0,6.2
H_2-0,ホーム 2-0,6.4
H_2-1,ホーム 2-1,5.5
H_3-0,ホーム 3-0,10.0
H_3-1,ホーム 3-1,7.1
H_3-2,ホーム 3-2,16.8
H_other,ホーム その他(4得点以上),4.1
D_0-0,引き分け 0-0,6.9
D_1-1,引き分け 1-1,5.1
D_2-2,引き分け 2-2,8.0
D_other,引き分け その他(3得点以上),30.2
A_0-1,アウェイ 0-1,8.9
A_0-2,アウェイ 0-2,10.9
A_1-2,アウェイ 1-2,8.2
A_0-3,アウェイ 0-3,32.9
A_1-3,アウェイ 1-3,21.8
A_2-3,アウェイ 2-3,25.1
A_other,アウェイ その他(4得点以上),33.9
